   Line: 'Om® HELLENIC BANK', Bounding box [{'x': 132, 'y': 34}, {'x': 563, 'y': 33}, {'x': 564, 'y': 76}, {'x': 132, 'y': 78}]
   Line: 'The smart way to pay with your', Bounding box [{'x': 179, 'y': 2188}, {'x': 523, 'y': 2188}, {'x': 523, 'y': 2222}, {'x': 179, 'y': 2223}]
   Line: 'smartphone . Add your Hellenic Bank', Bounding box [{'x': 183, 'y': 2212}, {'x': 569, 'y': 2213}, {'x': 569, 'y': 2249}, {'x': 183, 'y': 2249}]
   Line: 'Pay with your Hellenic Bank card at m', Bounding box [{'x': 1136, 'y': 2187}, {'x': 1534, 'y': 2187}, {'x': 1534, 'y': 2221}, {'x': 1136, 'y': 2222}]
   Line: 'cards to your smartphone or smartwatch', Bounding box [{'x': 172, 'y': 2231}, {'x': 588, 'y': 2232}, {'x': 587, 'y': 2269}, {'x': 172, 'y': 2269}]
   Line: 'participating scheme and earn cashback in your Mple', Bounding box [{'x': 1148, 'y': 2211}, {'x': 1687, 'y': 2208}, {'x': 1688, 'y': 2244}, {'x': 1148, 'y': 2250}]
   Line: 't and simple contactless', Bounding box [{'x': 315, 'y': 2260}, {'x': 595, 'y': 2260}, {'x': 596, 'y': 2290}, {'x': 315, 'y': 2292}]
   Line: 'Rewards app.', Bounding box [{'x': 1145, 'y': 2231}, {'x': 1318, 'y': 2233}, {'x': 1318, 'y': 2269}, {'x': 1145, 'y': 2267}]
   Line: 'and make fast and simple contactless', Bounding box [{'x': 176, 'y': 2278}, {'x': 572, 'y': 2273}, {'x': 573, 'y': 2304}, {'x': 176, 'y': 2314}]
   Line: 'payments.', Bounding box [{'x': 187, 'y': 2302}, {'x': 290, 'y': 2302}, {'x': 290, 'y': 2329}, {'x': 187, 'y': 2331}]
   Line: 'Learn More >', Bounding box [{'x': 181, 'y': 2371}, {'x': 338, 'y': 2371}, {'x': 339, 'y': 2401}, {'x': 181, 'y': 2404}]
   Line: 'Learn More >', Bounding box [{'x': 1150, 'y': 2376}, {'x': 1323, 'y': 2376}, {'x': 1324, 'y': 2403}, {'x': 1150, 'y': 2405}]
   Line: 'We are here to help you every step of the way', Bounding box [{'x': 129, 'y': 2606}, {'x': 1392, 'y': 2610}, {'x': 1392, 'y': 2676}, {'x': 129, 'y': 2673}]
   Line: 'Choose the account that suits you', Bounding box [{'x': 134, 'y': 2686}, {'x': 498, 'y': 2686}, {'x': 498, 'y': 2726}, {'x': 134, 'y': 2728}]
   Line: 'Basic', Bounding box [{'x': 293, 'y': 2809}, {'x': 358, 'y': 2813}, {'x': 358, 'y': 2845}, {'x': 293, 'y': 2845}]
   Line: 'Current Joint', Bounding box [{'x': 389, 'y': 2812}, {'x': 562, 'y': 2812}, {'x': 562, 'y': 2850}, {'x': 389, 'y': 2849}]
   Line: 'Basic Account', Bounding box [{'x': 282, 'y': 2968}, {'x': 521, 'y': 2970}, {'x': 520, 'y': 3010}, {'x': 282, 'y': 3009}]
   Line: 'Daily Banking, Made Easy.', Bounding box [{'x': 272, 'y': 3068}, {'x': 537, 'y': 3068}, {'x': 537, 'y': 3103}, {'x': 272, 'y': 3104}]
   Line: 'Our Basic Account gives you the essentials needed', Bounding box [{'x': 278, 'y': 3128}, {'x': 794, 'y': 3128}, {'x': 794, 'y': 3169}, {'x': 278, 'y': 3170}]
   Line: 'v-to-day banking with inst', Bounding box [{'x': 336, 'y': 3147}, {'x': 636, 'y': 3145}, {'x': 636, 'y': 3182}, {'x': 337, 'y': 3186}]
   Line: 'Open an Account', Bounding box [{'x': 296, 'y': 3286}, {'x': 493, 'y': 3286}, {'x': 493, 'y': 3321}, {'x': 296, 'y': 3323}]
   Line: 'Learn more ->', Bounding box [{'x': 550, 'y': 3290}, {'x': 726, 'y': 3290}, {'x': 726, 'y': 3315}, {'x': 550, 'y': 3315}]
   Line: 'Banking made simple', Bounding box [{'x': 964, 'y': 3687}, {'x': 1329, 'y': 3688}, {'x': 1329, 'y': 3737}, {'x': 964, 'y': 3736}]
   Line: 'My accounts', Bounding box [{'x': 381, 'y': 3716}, {'x': 450, 'y': 3716}, {'x': 450, 'y': 3729}, {'x': 381, 'y': 3730}]
   Line: 'Keep on top of your finances and view al', Bounding box [{'x': 960, 'y': 3783}, {'x': 1378, 'y': 3786}, {'x': 1377, 'y': 3826}, {'x': 960, 'y': 3825}]
   Line: 'cards and loans online. Check your account balances, view', Bounding box [{'x': 973, 'y': 3812}, {'x': 1604, 'y': 3813}, {'x': 1604, 'y': 3852}, {'x': 973, 'y': 3851}]
   Line: 'transactions, make payments, set up Time Deposits, transfers and', Bounding box [{'x': 967, 'y': 3829}, {'x': 1638, 'y': 3830}, {'x': 1638, 'y': 3873}, {'x': 967, 'y': 3873}]
   Line: 'ware_ cons, make payments,', Bounding box [{'x': 969, 'y': 3858}, {'x': 1271, 'y': 3850}, {'x': 1272, 'y': 3881}, {'x': 969, 'y': 3892}]
   Line: 'Register Online', Bounding box [{'x': 1007, 'y': 3996}, {'x': 1164, 'y': 3996}, {'x': 1164, 'y': 4037}, {'x': 1007, 'y': 4039}]
   Line: 'We believe in', Bounding box [{'x': 491, 'y': 4435}, {'x': 1414, 'y': 4435}, {'x': 1415, 'y': 4570}, {'x': 491, 'y': 4571}]
   Line: 'a greener world', Bounding box [{'x': 405, 'y': 4642}, {'x': 1501, 'y': 4622}, {'x': 1502, 'y': 4755}, {'x': 405, 'y': 4779}]
   Line: 'enic Bank Mastercard cards are made from biodegradable, environme', Bounding box [{'x': 576, 'y': 4829}, {'x': 1268, 'y': 4830}, {'x': 1268, 'y': 4869}, {'x': 576, 'y': 4868}]
   Line: 'material, requiring 82% less PVC to produce. In the coming year, the same green practice will', Bounding box [{'x': 484, 'y': 4858}, {'x': 1426, 'y': 4858}, {'x': 1426, 'y': 4904}, {'x': 484, 'y': 4902}]
   Line: 'be applied to all biodegradable Visa cards as well .', Bounding box [{'x': 666, 'y': 4886}, {'x': 1225, 'y': 4884}, {'x': 1225, 'y': 4916}, {'x': 666, 'y': 4919}]
   Line: 'Corporate Responsibility', Bounding box [{'x': 823, 'y': 5008}, {'x': 1091, 'y': 5013}, {'x': 1090, 'y': 5048}, {'x': 823, 'y': 5044}]
   Line: 'Can't find what you're looking for?', Bounding box [{'x': 489, 'y': 5320}, {'x': 1430, 'y': 5322}, {'x': 1430, 'y': 5395}, {'x': 489, 'y': 5394}]
   Line: 'You can contact our Customer Contact Centre or simply Book a Meeting at your preferred Hellenic Bank', Bounding box [{'x': 437, 'y': 5400}, {'x': 1479, 'y': 5401}, {'x': 1479, 'y': 5445}, {'x': 437, 'y': 5443}]
   Line: 'Contact us', Bounding box [{'x': 761, 'y': 5564}, {'x': 889, 'y': 5564}, {'x': 888, 'y': 5594}, {'x': 761, 'y': 5593}]
   Line: 'Book a Meeting', Bounding box [{'x': 985, 'y': 5563}, {'x': 1150, 'y': 5565}, {'x': 1150, 'y': 5598}, {'x': 985, 'y': 5596}]
   Line: 'MMEDIATE HELE', Bounding box [{'x': 238, 'y': 5964}, {'x': 361, 'y': 5964}, {'x': 361, 'y': 5986}, {'x': 238, 'y': 5986}]
   Line: 'DIGITAL CHANNELS', Bounding box [{'x': 535, 'y': 5960}, {'x': 695, 'y': 5963}, {'x': 694, 'y': 5994}, {'x': 535, 'y': 5991}]
   Line: 'USEFUL INFORMATION', Bounding box [{'x': 837, 'y': 5964}, {'x': 1009, 'y': 5964}, {'x': 1009, 'y': 5988}, {'x': 837, 'y': 5987}]
   Line: 'Security Centre', Bounding box [{'x': 234, 'y': 6025}, {'x': 374, 'y': 6031}, {'x': 373, 'y': 6065}, {'x': 234, 'y': 6061}]
   Line: 'Digital Wallet', Bounding box [{'x': 532, 'y': 6021}, {'x': 641, 'y': 6021}, {'x': 641, 'y': 6057}, {'x': 532, 'y': 6057}]
   Line: 'Cookie policy', Bounding box [{'x': 830, 'y': 6014}, {'x': 942, 'y': 6018}, {'x': 941, 'y': 6059}, {'x': 828, 'y': 6054}]
   Line: 'Customer support', Bounding box [{'x': 1367, 'y': 5994}, {'x': 1558, 'y': 5997}, {'x': 1557, 'y': 6031}, {'x': 1366, 'y': 6030}]
   Line: 'Lost or stolen card', Bounding box [{'x': 225, 'y': 6055}, {'x': 391, 'y': 6058}, {'x': 391, 'y': 6089}, {'x': 225, 'y': 6088}]
   Line: 'All the answers you need', Bounding box [{'x': 1367, 'y': 6025}, {'x': 1589, 'y': 6026}, {'x': 1589, 'y': 6061}, {'x': 1367, 'y': 6060}]
   Line: 'Succoctione e comple', Bounding box [{'x': 231, 'y': 6079}, {'x': 413, 'y': 6079}, {'x': 413, 'y': 6113}, {'x': 231, 'y': 6114}]
   Line: 'ATMS', Bounding box [{'x': 529, 'y': 6059}, {'x': 615, 'y': 6063}, {'x': 612, 'y': 6092}, {'x': 526, 'y': 6092}]
   Line: 'Online banking', Bounding box [{'x': 527, 'y': 6066}, {'x': 653, 'y': 6072}, {'x': 649, 'y': 6136}, {'x': 525, 'y': 6128}]
   Line: 'Auctions', Bounding box [{'x': 835, 'y': 6037}, {'x': 942, 'y': 6043}, {'x': 937, 'y': 6113}, {'x': 828, 'y': 6106}]
   Line: 'Suggestions & Complaints', Bounding box [{'x': 228, 'y': 6098}, {'x': 447, 'y': 6097}, {'x': 448, 'y': 6131}, {'x': 228, 'y': 6135}]
   Line: 'Calculators', Bounding box [{'x': 234, 'y': 6121}, {'x': 327, 'y': 6121}, {'x': 330, 'y': 6153}, {'x': 231, 'y': 6153}]
   Line: 'Exchange Rates', Bounding box [{'x': 823, 'y': 6101}, {'x': 989, 'y': 6103}, {'x': 988, 'y': 6141}, {'x': 823, 'y': 6140}]
   Line: 'Calculators', Bounding box [{'x': 231, 'y': 6144}, {'x': 337, 'y': 6147}, {'x': 337, 'y': 6183}, {'x': 234, 'y': 6187}]
   Line: 'Mobile App', Bounding box [{'x': 530, 'y': 6121}, {'x': 633, 'y': 6124}, {'x': 630, 'y': 6157}, {'x': 530, 'y': 6157}]
   Line: 'Shareholder Information', Bounding box [{'x': 823, 'y': 6125}, {'x': 1031, 'y': 6130}, {'x': 1030, 'y': 6165}, {'x': 823, 'y': 6164}]
   Line: 'Cut-off times', Bounding box [{'x': 219, 'y': 6170}, {'x': 343, 'y': 6170}, {'x': 343, 'y': 6205}, {'x': 220, 'y': 6206}]
   Line: 'Mobile App', Bounding box [{'x': 536, 'y': 6147}, {'x': 653, 'y': 6148}, {'x': 653, 'y': 6177}, {'x': 536, 'y': 6176}]
   Line: 'Customer Review - KY', Bounding box [{'x': 234, 'y': 6191}, {'x': 415, 'y': 6193}, {'x': 415, 'y': 6229}, {'x': 234, 'y': 6228}]
   Line: 'Forgot login details', Bounding box [{'x': 526, 'y': 6168}, {'x': 690, 'y': 6172}, {'x': 690, 'y': 6200}, {'x': 526, 'y': 6199}]
   Line: 'Shareholder', Bounding box [{'x': 819, 'y': 6140}, {'x': 942, 'y': 6144}, {'x': 942, 'y': 6183}, {'x': 819, 'y': 6187}]
   Line: 'Charges', Bounding box [{'x': 828, 'y': 6170}, {'x': 927, 'y': 6174}, {'x': 924, 'y': 6206}, {'x': 828, 'y': 6206}]
   Line: 'Book a Meeting', Bounding box [{'x': 1376, 'y': 6147}, {'x': 1549, 'y': 6151}, {'x': 1548, 'y': 6184}, {'x': 1376, 'y': 6181}]
   Line: 'Customer Review - KYC', Bounding box [{'x': 231, 'y': 6215}, {'x': 441, 'y': 6214}, {'x': 442, 'y': 6243}, {'x': 231, 'y': 6248}]
   Line: 'Foo Informe', Bounding box [{'x': 824, 'y': 6193}, {'x': 934, 'y': 6193}, {'x': 934, 'y': 6225}, {'x': 824, 'y': 6225}]
   Line: 'Schedule an Online or Branch meeting', Bounding box [{'x': 1366, 'y': 6165}, {'x': 1691, 'y': 6172}, {'x': 1691, 'y': 6202}, {'x': 1365, 'y': 6199}]
   Line: 'Dispute Resolution Procedure', Bounding box [{'x': 231, 'y': 6238}, {'x': 472, 'y': 6243}, {'x': 471, 'y': 6271}, {'x': 231, 'y': 6267}]
   Line: 'Fee Information Documents', Bounding box [{'x': 824, 'y': 6212}, {'x': 1065, 'y': 6212}, {'x': 1066, 'y': 6244}, {'x': 824, 'y': 6248}]
   Line: 'Base Rates', Bounding box [{'x': 822, 'y': 6239}, {'x': 949, 'y': 6240}, {'x': 949, 'y': 6276}, {'x': 822, 'y': 6275}]
   Line: 'Base Rates', Bounding box [{'x': 821, 'y': 6258}, {'x': 941, 'y': 6258}, {'x': 941, 'y': 6294}, {'x': 821, 'y': 6294}]
   Line: 'irective on Arrears', Bounding box [{'x': 842, 'y': 6284}, {'x': 992, 'y': 6284}, {'x': 992, 'y': 6313}, {'x': 842, 'y': 6313}]
